symbol,category_raw,name,price_listing,risefall,changeVal,changeRate,nav,return_3m_listing,volume,amonut,market_cap_raw,yahoo_ticker,bucket,listing_date_observed
069500,1,KODEX 200,111675,5,-25,-0.02,111785.0,-23.8141,20896567,2373992,257634,069500.KS,EQUITY,2026-09-22
360750,4,TIGER 미국S&P500,26127,5,-213,-0.81,26107.0,-6.8793,33840210,887890,208036,360750.KS,EQUITY,2026-09-22
133690,4,TIGER 미국나스닥100,183045,2,505,0.28,182929.0,-10.5355,4477584,825286,119949,133690.KS,EQUITY,2026-09-22
379800,4,KODEX 미국S&P500,23755,5,-185,-0.77,23732.0,-6.7831,17399463,414978,103441,379800.KS,EQUITY,2026-09-22
102110,1,TIGER 200,111950,2,5,0.0,112045.0,-23.8656,11565954,1316703,102490,102110.KS,EQUITY,2026-09-22
396500,2,TIGER 반도체TOP10,38305,2,60,0.16,38370.0,-28.8466,9919397,388035,102064,396500.KS,EQUITY,2026-09-22
379810,4,KODEX 미국나스닥100,27375,2,85,0.31,27352.0,-10.5475,28204177,777153,97085,379810.KS,EQUITY,2026-09-22
488770,7,KODEX 머니마켓액티브,105595,2,15,0.01,105614.0,0.8597,637694,67336,94361,488770.KS,DEFENSIVE,2026-09-22
278530,1,KODEX 200TR,40450,2,20,0.05,40454.0,-23.7961,571023,23473,79120,278530.KS,EQUITY,2026-09-22
459580,6,KODEX CD금리액티브(합성),1075705,2,375,0.03,1075621.0,0.735,495239,532729,69528,459580.KS,DEFENSIVE,2026-09-22
498400,2,KODEX 200타겟위클리커버드콜,20745,2,15,0.07,20760.0,-23.9271,5239421,110530,61343,498400.KS,EQUITY,2026-09-22
122630,3,KODEX 레버리지,114035,5,-25,-0.02,114230.0,-51.4907,13399947,1581456,61066,122630.KS,EXCLUDED,2026-09-22
381180,4,TIGER 미국필라델피아반도체나스닥,43625,2,175,0.4,43882.0,-23.1485,1896474,84034,59134,381180.KS,EQUITY,2026-09-22
091160,2,KODEX 반도체,136020,2,770,0.57,136194.0,-25.2825,1139992,158033,58727,091160.KS,EQUITY,2026-09-22
0167A0,2,SOL AI반도체TOP2플러스,18465,2,145,0.79,18493.0,-34.7114,13980766,264551,57666,0167A0.KS,EQUITY,2026-09-22
310970,1,TIGER MSCI Korea TR,50025,2,30,0.06,50116.0,-24.4561,14782,755,46473,310970.KS,EQUITY,2026-09-22
229200,1,KODEX 코스닥150,13915,5,-130,-0.93,13952.0,-17.212,16297025,229843,46351,229200.KS,EQUITY,2026-09-22
148020,1,RISE 200,112560,2,20,0.02,112621.0,-23.727,754204,86349,45699,148020.KS,EQUITY,2026-09-22
458730,4,TIGER 미국배당다우존스,14480,5,-270,-1.83,14427.0,-3.5717,2777318,40336,42477,458730.KS,EQUITY,2026-09-22
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13885,5,-15,-0.11,13894.0,-12.2847,5915860,83100,42099,0162Z0.KS,DEFENSIVE,2026-09-22
395160,2,KODEX AI반도체TOP2플러스,41900,2,250,0.6,41973.0,-31.2707,4408463,189032,42068,395160.KS,EQUITY,2026-09-22
360200,4,ACE 미국S&P500,26415,5,-225,-0.84,26393.0,-6.6936,596399,15831,39966,360200.KS,EQUITY,2026-09-22
411060,5,ACE KRX금현물,26490,5,-560,-2.07,26398.0,-3.771,680979,18190,39629,411060.KS,REAL_ASSET,2026-09-22
381170,4,TIGER 미국테크TOP10 INDXX,31825,2,70,0.22,31791.0,-3.5389,708063,22707,39431,381170.KS,EQUITY,2026-09-22
395270,2,HANARO Fn K-반도체,59645,2,195,0.33,59702.0,-30.1164,1286030,78350,37397,395270.KS,EQUITY,2026-09-22
423160,6,KODEX KOFR금리액티브(합성),110857,2,7,0.01,110851.0,0.7066,80007,8869,36298,423160.KS,DEFENSIVE,2026-09-22
367380,4,ACE 미국나스닥100,31470,2,100,0.32,31446.0,-10.533,393542,12505,35687,367380.KS,EQUITY,2026-09-22
273130,6,KODEX 종합채권(AA-이상)액티브,109745,2,85,0.08,109796.0,-0.6523,10056,1104,35433,273130.KS,DEFENSIVE,2026-09-22
102780,2,KODEX 삼성그룹,26465,2,125,0.47,26493.0,-24.2342,287057,7712,33902,102780.KS,EQUITY,2026-09-22
357870,6,TIGER CD금리투자KIS(합성),58115,2,25,0.04,58112.0,0.7632,225969,13131,33805,357870.KS,DEFENSIVE,2026-09-22
233740,3,KODEX 코스닥150레버리지,6770,5,-135,-1.96,6791.0,-40.2424,37433673,260343,33390,233740.KS,EXCLUDED,2026-09-22
487240,2,KODEX AI전력핵심설비,37405,2,310,0.84,37519.0,-20.1853,3218913,123055,32842,487240.KS,EQUITY,2026-09-22
0043B0,6,TIGER 머니마켓액티브,103760,2,40,0.04,103760.0,0.9293,119599,12409,31863,0043B0.KS,DEFENSIVE,2026-09-22
455890,6,RISE 머니마켓액티브,55590,2,20,0.04,55595.0,0.8438,254585,14151,31001,455890.KS,DEFENSIVE,2026-09-22
139260,2,TIGER 200 IT,142625,2,1425,1.01,142884.0,-31.1086,189274,27582,27584,139260.KS,EQUITY,2026-09-22
472150,2,TIGER 배당커버드콜액티브,20945,5,-20,-0.1,20957.0,-23.1132,4551820,97026,26556,472150.KS,EQUITY,2026-09-22
426030,4,TIME 미국나스닥100액티브,47695,5,-255,-0.53,48041.0,-22.6114,781395,37888,26146,426030.KS,EQUITY,2026-09-22
